Aranda,1728669600,1.0,206.95,1.2,43.99,0.66,2.03,4.75,0.62
Aranda,1728673200,1.0,205.28,1.2,42.92,0.66,2.0,4.76,0.65
Aranda,1728676800,1.0,203.61,1.25,41.48,0.69,1.85,4.36,0.66
Aranda,1728680400,1.0,205.28,1.52,41.84,0.77,1.82,4.09,0.7
Aranda,1728684000,1.0,208.62,1.56,46.49,0.82,1.77,3.87,0.75
Aranda,1728687600,1.0,211.95,1.34,52.21,0.83,1.6,3.41,0.79
Aranda,1728691200,1.0,213.62,0.96,58.65,0.8,1.49,3.12,0.75
Aranda,1728694800,2.0,213.62,0.65,62.23,0.72,1.34,2.86,0.67
Aranda,1728698400,2.0,213.62,0.54,62.23,0.65,1.23,2.69,0.63
Aranda,1728702000,2.0,211.95,0.48,60.08,0.57,1.2,2.67,0.61
Aranda,1728705600,1.0,208.62,0.46,57.94,0.48,1.06,2.36,0.56
Aranda,1728709200,1.0,206.95,0.47,55.07,0.43,1.05,2.32,0.55
Aranda,1728712800,1.0,205.28,0.49,51.5,0.39,1.01,2.19,0.55
Aranda,1728716400,1.0,206.95,0.86,49.35,0.4,0.75,1.66,0.63
Aranda,1728720000,1.0,210.29,1.59,47.92,0.44,0.68,1.7,0.76
Aranda,1728723600,1.0,211.95,1.86,47.21,0.47,0.83,2.33,0.85
Aranda,1728727200,1.0,213.62,1.74,49.35,0.47,0.97,2.94,0.91
Aranda,1728730800,1.0,213.62,1.71,50.78,0.5,1.05,3.33,0.93
Aranda,1728734400,1.0,216.96,1.88,50.78,0.54,1.11,3.56,0.83
Aranda,1728738000,1.0,216.96,2.55,47.92,0.54,1.21,3.71,0.82
Aranda,1728741600,1.0,220.3,3.47,43.99,0.5,1.35,3.83,0.87
Aranda,1728745200,1.0,220.3,3.98,40.41,0.5,1.47,3.95,0.97
Aranda,1728748800,1.0,220.3,4.2,37.19,0.55,1.61,4.06,1.06
Aranda,1728752400,1.0,220.3,4.28,34.69,0.57,1.73,4.1,1.04
Aranda,1728756000,1.0,216.96,4.37,32.9,0.57,1.82,4.01,1.01
Aranda,1728759600,1.0,216.96,4.5,30.76,0.6,1.87,3.84,0.99
Aranda,1728763200,1.0,216.96,4.63,30.04,0.69,1.88,3.87,1.03
Aranda,1728766800,1.0,223.64,4.71,31.83,0.92,2.03,4.26,1.14
Aranda,1728770400,1.0,230.31,4.76,39.7,1.25,2.17,4.7,1.23
Aranda,1728774000,1.0,236.99,4.84,50.07,1.39,2.33,4.87,1.55
Aranda,1728777600,2.0,233.65,3.9,66.52,1.48,2.64,4.95,1.8
Aranda,1728781200,2.0,213.62,1.05,66.52,0.8,1.23,2.32,0.86
Aranda,1728784800,2.0,206.95,0.53,64.37,0.57,0.79,1.5,0.68
Aranda,1728788400,2.0,203.61,0.39,61.51,0.47,0.63,1.16,0.59
Aranda,1728792000,2.0,205.28,0.31,63.66,0.35,0.53,0.91,0.48
Aranda,1728795600,2.0,208.62,0.3,65.09,0.28,0.5,0.8,0.47
Aranda,1728799200,2.0,210.29,0.32,64.37,0.23,0.5,0.78,0.49
Aranda,1728802800,1.0,211.95,1.39,57.94,0.29,0.52,0.83,1.03
Aranda,1728806400,1.0,216.96,3.34,47.92,0.34,0.64,1.02,1.92
Aranda,1728810000,1.0,216.96,3.9,42.2,0.36,0.73,1.15,2.47
Aranda,1728813600,1.0,220.3,4.37,38.62,0.43,0.89,1.37,3.04
Aranda,1728817200,1.0,220.3,5.14,32.9,0.51,1.11,1.68,3.74
Aranda,1728820800,1.0,226.97,6.43,27.18,0.64,1.42,2.13,4.62
Aranda,1728824400,1.0,230.31,7.71,22.17,0.74,1.74,2.63,5.64
Aranda,1728828000,1.0,230.31,8.23,17.88,0.61,1.9,2.88,5.95
Aranda,1728831600,1.0,226.97,8.14,14.48,0.5,2.02,3.08,5.57
Aranda,1728835200,1.0,220.3,7.54,13.41,0.6,2.11,3.14,6.02
Aranda,1728838800,1.0,216.96,7.28,14.13,0.85,2.24,3.24,7.66
Aranda,1728842400,1.0,216.96,7.45,15.02,1.13,2.51,3.5,9.37
Aranda,1728846000,1.0,220.3,8.14,16.09,1.52,2.91,3.94,10.77
Aranda,1728849600,1.0,226.97,9.25,16.27,1.91,3.37,4.46,12.16
Aranda,1728853200,1.0,240.33,10.97,15.56,2.38,4.06,5.36,13.55
Aranda,1728856800,1.0,253.68,11.65,14.13,1.97,4.82,6.35,9.63
Aranda,1728860400,1.0,236.99,9.25,14.66,1.03,4.47,5.83,5.32
Aranda,1728864000,1.0,198.6,4.46,21.46,0.48,3.1,3.91,3.26
Aranda,1728867600,1.0,216.96,0.52,41.49,0.21,0.79,0.9,0.72
